Sample_ID,serotype,Country,Continent,Travel_history,Year,Belgium,Source,Gender,gyrA_mutations,macrolide_resistance_genes,MIC_AZM,MIC_CIP
ERR025724,Sonnei,Europe,Europe,NA,1947,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028700,Sonnei,Europe,Europe,NA,2007,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024607,Sonnei,North/West/Central Africa,Africa,NA,2005,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028691,Sonnei,Caribbean/Central America,Latin America,NA,1998,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025719,Sonnei,Central Asia,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028681,Sonnei,Central Asia,Asia,NA,2005,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025717,Sonnei,Central Asia,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025718,Sonnei,Central Asia,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025710,Sonnei,Central Asia,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025721,Sonnei,Central Asia,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028697,Sonnei,East Africa & Madagascar,Africa,NA,2004,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028684,Sonnei,Egypt,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028699,Sonnei,Egypt,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025749,Sonnei,Europe,Europe,NA,1973,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025747,Sonnei,Europe,Europe,NA,1983,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028688,Sonnei,Europe,Europe,NA,2000,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028676,Sonnei,Europe,Europe,NA,2004,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025729,Sonnei,Europe,Europe,NA,1945,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025716,Sonnei,Europe,Europe,NA,1979,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025725,Sonnei,Europe,Europe,NA,1979,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028689,Sonnei,Europe,Europe,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028695,Sonnei,Europe,Europe,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028694,Sonnei,Europe,Europe,NA,1990,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024620,Sonnei,Korea,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025767,Sonnei,MiddleEast,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028690,Sonnei,MiddleEast,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025750,Sonnei,North/West/Central Africa,Africa,NA,1973,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024611,Sonnei,North/West/Central Africa,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025758,Sonnei,SouthAmerica,Latin America,NA,1998,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025706,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025683,Sonnei,Vietnam,Asia,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025712,Sonnei,Vietnam,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025701,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025704,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025705,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025700,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,mphA,NA,NA
ERR028703,Sonnei,Central Asia,Asia,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028702,Sonnei,Europe,Europe,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028686,Sonnei,SouthAmerica,Latin America,NA,2000,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028704,Sonnei,SouthAmerica,Latin America,NA,2000,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028687,Sonnei,SouthAmerica,Latin America,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028685,Sonnei,SouthAmerica,Latin America,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025768,Sonnei,Caribbean/Central America,Latin America,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028671,Sonnei,Egypt,Africa,NA,2005,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024609,Sonnei,North/West/Central Africa,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024608,Sonnei,SouthAmerica,Latin America,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025737,Sonnei,Europe,Europe,NA,1959,No,Holt et al. 2012,NA,NA,NA,NA,NA
S17BD07216,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,NA,NA,NA,NA,NA
ERR708271,Sonnei,Ireland,Europe,Marocco,Unknown ,No,The et al. 2016,NA,NA,NA,NA,NA
ERR591405,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592007,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592013,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592030,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592006,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
