ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Kafe Simiria,SL020502,20590,20295,40885,5411,6393,4887,5036,3818,3501,2501,2427,1726,1399,1078,638,649,425,378,229,389
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Kalansogoia,SL020503,20042,19944,39986,5293,6253,4780,4926,3734,3424,2446,2374,1688,1368,1055,623,636,416,369,224,380
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Kholifa Mabang,SL020504,8915,9667,18582,2460,2906,2221,2289,1735,1591,1136,1103,785,636,489,290,295,193,172,104,176
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Kholifa Rowala,SL020505,36594,37136,73729,9758,11530,8813,9082,6885,6314,4510,4376,3113,2522,1944,1150,1171,766,681,414,700
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Kunike,SL020507,41832,41137,82969,10981,12974,9917,10221,7748,7104,5074,4925,3503,2839,2188,1293,1318,863,766,465,788
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Kunike Barina,SL020506,14679,13467,28147,3725,4402,3365,3467,2628,2411,1721,1671,1189,963,743,439,447,292,260,157,268
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Malal Mara,SL020508,16826,17685,34511,4568,5396,4125,4251,3222,2956,2111,2048,1457,1181,910,539,549,359,319,193,328
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Sambaya,SL020509,17494,18177,35671,4721,5578,4264,4394,3330,3055,2182,2117,1506,1221,941,556,566,371,330,200,339
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Tane,SL020510,18184,18927,37111,4911,5803,4436,4571,3465,3178,2270,2203,1567,1270,979,579,590,386,342,208,352
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Yoni,SL020511,60898,64545,125444,16603,19616,14995,15453,11714,10743,7673,7447,5296,4291,3308,1957,1992,1304,1158,702,1192
Sierra Leone,SL,Western,SL04,Western Area Rural,SL0401,Koya Rural,SL040101,40185,40185,78518,10392,12278,9386,9672,7332,6723,4802,4660,3315,2686,2070,1224,1247,816,726,440,746
Sierra Leone,SL,Western,SL04,Western Area Rural,SL0401,Mountain Rural,SL040102,16138,16138,33993,4499,5315,4063,4188,3174,2911,2079,2018,1435,1163,896,530,540,353,314,191,323
Sierra Leone,SL,Western,SL04,Western Area Rural,SL0401,Waterloo Rural,SL040103,121306,121306,238351,31547,37272,28491,29361,22257,20410,14578,14149,10064,8155,6285,3717,3785,2477,2202,1336,2266
Sierra Leone,SL,Western,SL04,Western Area Rural,SL0401,York Rural,SL040104,70914,70914,144476,19122,22592,17269,17797,13491,12371,8837,8576,6100,4943,3810,2253,2295,1502,1335,809,1374
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,Central I,SL040201,33979,33979,69683,9223,10896,8330,8584,6507,5967,4262,4136,2942,2384,1837,1087,1107,725,643,390,662
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,Central II,SL040202,10915,10915,23874,3160,3733,2854,2941,2230,2045,1461,1417,1008,817,630,372,379,249,221,134,227
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,East I,SL040203,34412,34412,68284,9038,10678,8163,8411,6376,5847,4177,4053,2883,2336,1801,1065,1085,710,631,382,649
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,East II,SL040204,49274,49274,99821,13212,15609,11932,12297,9321,8548,6105,5926,4215,3415,2632,1556,1585,1038,922,560,949
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,East III,SL040205,252009,252009,500134,66196,78207,59782,61609,46702,42827,30590,29688,21116,17111,13189,7799,7943,5199,4620,2803,4753
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,West I,SL040206,30569,30569,60186,7966,9411,7195,7414,5620,5153,3682,3572,2541,2059,1587,939,956,625,556,338,572
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,West II,SL040207,73020,73020,145109,19206,22691,17345,17875,13550,12426,8875,8614,6127,4965,3827,2263,2305,1509,1340,813,1379
Sierra Leone,SL,Western,SL04,Western Area Urban,SL0402,West III,SL040208,104243,104243,210252,27828,32878,25132,25900,19633,18004,12860,12481,8877,7194,5545,3279,3339,2185,1942,1178,1998
